Point,X,Y,Na/Si,Na/Si_uncer,Al/Si,Al/Si_uncer,Mg/Si,Mg/Si_uncer,Ca/Si,Ca/Si_uncer,Polygon ID
V3,3140195.2002,-2335528.7086,,,0.0,-1.0,,,,,75
V0,2964665.4539,2517593.1369,,,1.3704238378198927,0.0049167189522137,,,,,76
V1,2872349.0459,2344916.8179,,,1.3704238378198927,0.0049167189522137,,,,,76
V2,2985785.6675,2342460.6265,,,1.3704238378198927,0.0049167189522137,,,,,76
V3,3168153.3293,2513138.6367,,,1.3704238378198927,0.0049167189522137,,,,,76
V0,4231805.4922,-2320837.0453,,,0.0,-1.0,,,,,77
V1,4213035.3383,-2495214.5043,,,0.0,-1.0,,,,,77
V2,4363257.2163,-2494219.8984,,,0.0,-1.0,,,,,77
V3,4398917.4764,-2320266.9663,,,0.0,-1.0,,,,,77
V0,4487431.3363,2505639.6721,,,0.0,-1.0,,,,,78
V1,4474574.2357,2331920.2299,,,0.0,-1.0,,,,,78
V2,4607117.6005,2331501.7676,,,0.0,-1.0,,,,,78
V3,4672707.0074,2504899.7824,,,0.0,-1.0,,,,,78
V0,-1808991.0194,-2319660.4993,,,0.0,-1.0,,,,,79
V1,-1917020.9877,-2492570.3081,,,0.0,-1.0,,,,,79
V2,-1717184.0437,-2494993.1438,,,0.0,-1.0,,,,,79
V3,-1693334.7286,-2321058.4058,,,0.0,-1.0,,,,,79
V0,-3152931.0074,2523821.5531,,,0.0,-1.0,,,,,80
V1,-3256121.3689,2353019.2171,,,0.0,-1.0,,,,,80
V2,-3069390.1769,2355678.5749,,,0.0,-1.0,,,,,80
V3,-3016854.9723,2528645.9981,,,0.0,-1.0,,,,,80
V0,4911533.7154,2514415.2498,,,0.0,-1.0,,,,,81
V1,4897463.6808,2341050.5907,,,0.0,-1.0,,,,,81
V2,5029612.842,2340677.6135,,,0.0,-1.0,,,,,81
V3,5095808.7159,2513742.0714,,,0.0,-1.0,,,,,81
V0,-2172322.3719,-2322274.3721,,,0.0,-1.0,,,,,82
V1,-2306873.1424,-2494517.0672,,,0.0,-1.0,,,,,82
V2,-2107679.0535,-2497852.6358,,,0.0,-1.0,,,,,82
V3,-2057278.6127,-2324190.8079,,,0.0,-1.0,,,,,82
V0,-2405536.2277,2542764.5501,,,0.0,-1.0,,,,,83
V1,-2516073.937,2371110.128,,,0.0,-1.0,,,,,83
V2,-2406455.0252,2368844.9737,,,0.0,-1.0,,,,,83
V3,-2200001.5262,2538458.6343,,,0.0,-1.0,,,,,83
V0,-2641218.4042,2540478.1694,,,0.0,-1.0,,,,,84
V1,-2748193.1199,2368769.1653,,,0.0,-1.0,,,,,84
V2,-2639104.8667,2366534.3344,,,0.0,-1.0,,,,,84
V3,-2437278.7109,2536245.0297,,,0.0,-1.0,,,,,84
V0,-5369022.1033,2525595.4691,,,0.0,-1.0,,,,,85
V1,-5383243.7546,2352655.3369,,,0.0,-1.0,,,,,85
V2,-5253429.4915,2352291.4567,,,0.0,-1.0,,,,,85
V3,-5184170.9591,2524925.323,,,0.0,-1.0,,,,,85
V0,-3963534.811,-2360748.6391,,,1.0,0.0135689652582186,,,,,86
V1,-3990037.4193,-2533855.5497,,,1.0,0.0135689652582186,,,,,86
V2,-3857827.6114,-2530829.2793,,,1.0,0.0135689652582186,,,,,86
V3,-3779835.9541,-2359138.4692,,,1.0,0.0135689652582186,,,,,86
V0,1080266.3266,-2315612.332,,,0.0,-1.0,,,,,87
V1,1076130.2216,-2490086.8257,,,0.0,-1.0,,,,,87
V2,1213024.9871,-2488597.9492,,,0.0,-1.0,,,,,87
V3,1253846.2815,-2314739.0195,,,0.0,-1.0,,,,,87
V0,-346535.2487,2520813.4767,,,0.0,-1.0,,,,,88
V1,-385864.6342,2347903.6679,,,0.0,-1.0,,,,,88
V2,-220575.0833,2348385.8092,,,0.0,-1.0,,,,,88
V3,-200497.993,2521683.7569,,,0.0,-1.0,,,,,88
V0,-4333995.1832,2540387.1994,,,0.0,-1.0,,,,,89
V1,-4343486.3918,2368132.375,,,0.0,-1.0,,,,,89
V2,-4236657.2283,2367313.6445,,,0.0,-1.0,,,,,89
V3,-4130161.6216,2538822.5145,,,0.0,-1.0,,,,,89
V0,863151.1376,-2309211.0727,,,1.0029270502940386,0.0013148398302582,,,,,90
V1,842946.6892,-2483618.8551,,,1.0029270502940386,0.0013148398302582,,,,,90
V2,990967.092,-2482806.1893,,,1.0029270502940386,0.0013148398302582,,,,,90
V3,1021996.9765,-2308728.9315,,,1.0029270502940386,0.0013148398302582,,,,,90
V0,-1978431.8369,2519473.1846,,,1.856811403300057,0.0030198323521461,,,,,91
V1,-2056456.8499,2347773.2775,,,1.856811403300057,0.0030198323521461,,,,,91
V2,-1878373.8775,2349544.1611,,,1.856811403300057,0.0030198323521461,,,,,91
V3,-1849736.5054,2522684.4274,,,1.856811403300057,0.0030198323521461,,,,,91
V0,-1401002.4688,2524522.0225,,,0.0,-1.0,,,,,92
V1,-1408104.1974,2352033.7082,,,0.0,-1.0,,,,,92
V2,-1302239.3164,2351233.1718,,,0.0,-1.0,,,,,92
V3,-1208167.1864,2523063.4693,,,0.0,-1.0,,,,,92
V0,67405.7757,2511734.6656,,,0.0,-1.0,,,,,93
V1,34520.1021,2338873.3741,,,0.0,-1.0,,,,,93
V2,186976.8111,2339206.931,,,0.0,-1.0,,,,,93
V3,212166.4183,2512322.9386,,,0.0,-1.0,,,,,93
V0,2372323.062,-2314490.3681,,,0.0,-1.0,,,,,94
V1,2340923.2326,-2488337.1684,,,0.0,-1.0,,,,,94
V2,2469272.878,-2484522.4909,,,0.0,-1.0,,,,,94
V3,2541842.7202,-2312237.3431,,,0.0,-1.0,,,,,94
V0,1333069.0668,2534680.3448,,,0.0,-1.0,,,,,95
V1,1249482.7514,2363708.1981,,,0.0,-1.0,,,,,95
V2,1423129.4176,2365278.9477,,,0.0,-1.0,,,,,95
V3,1455369.2038,2537600.4835,,,0.0,-1.0,,,,,95
V0,-1747000.9942,2501873.512,,,0.0,-1.0,,,,,96
V1,-1806055.7191,2329536.8145,,,0.0,-1.0,,,,,96
V2,-1638801.2152,2330871.042,,,0.0,-1.0,,,,,96
V3,-1623824.5124,2504208.41,,,0.0,-1.0,,,,,96
V0,5289847.8353,2519694.5451,,,0.7055923802255114,0.0030865293427089,,,,,97
V1,5279750.1596,2346648.2812,,,0.7055923802255114,0.0030865293427089,,,,,97
V2,5403802.9862,2346169.1722,,,0.7055923802255114,0.0030865293427089,,,,,97
V3,5452896.4906,2518821.2326,,,0.7055923802255114,0.0030865293427089,,,,,97
V0,-4037068.9358,-2282923.7603,,,0.0,-1.0,,,,,98
V1,-4134346.2439,-2455979.1211,,,0.0,-1.0,,,,,98
V2,-3957652.081,-2458532.3473,,,0.0,-1.0,,,,,98
V3,-3929421.0418,-2284479.3481,,,0.0,-1.0,,,,,98
V0,2073116.4987,-2287326.7107,,,0.0,-1.0,,,,,99
V1,2053036.376,-2461722.3637,,,0.0,-1.0,,,,,99
V2,2177898.8361,-2458617.2526,,,0.0,-1.0,,,,,99
V3,2233669.5422,-2285413.3073,,,0.0,-1.0,,,,,99
V0,-3722433.8517,-2270482.0896,,,0.0,-1.0,,,,,100
V1,-3819984.0701,-2443534.4181,,,0.0,-1.0,,,,,100
V2,-3649506.194,-2446281.7137,,,0.0,-1.0,,,,,100
V3,-3616696.3288,-2272183.2295,,,0.0,-1.0,,,,,100
V0,-3973662.81,2469624.6288,,,0.0,-1.0,,,,,101
V1,-4031186.2058,2296999.8595,,,0.0,-1.0,,,,,101
V2,-3875111.9211,2298673.7085,,,0.0,-1.0,,,,,101
V3,-3855765.6236,2472365.8597,,,0.0,-1.0,,,,,101
V0,260325.9634,-2290692.6026,,,1.6261075480256182,0.0349322146199997,,,,,102
V1,218967.9458,-2464157.3288,,,1.6261075480256182,0.0349322146199997,,,,,102
V2,368595.4861,-2464457.5299,,,1.6261075480256182,0.0349322146199997,,,,,102
V3,382902.0428,-2290874.5427,,,1.6261075480256182,0.0349322146199997,,,,,102
V0,395950.1805,-2293979.6538,,,0.0,-1.0,,,,,103
V1,357342.4908,-2467374.6362,,,0.0,-1.0,,,,,103
V2,504395.5787,-2467556.5763,,,0.0,-1.0,,,,,103
V3,520582.1831,-2294088.8179,,,0.0,-1.0,,,,,103
V0,-1259674.4294,2508929.7557,,,1.5212644204731562,0.0192662824634308,,,,,104
V1,-1263228.3261,2336635.5109,,,1.5212644204731562,0.0192662824634308,,,,,104
V2,-1159768.0868,2336104.8522,,,1.5212644204731562,0.0192662824634308,,,,,104
V3,-1089966.7664,2507989.7318,,,1.5212644204731562,0.0192662824634308,,,,,104
V0,4103810.6301,2520134.2336,,,0.0,-1.0,,,,,105
V1,4060994.0593,2348313.0331,,,0.0,-1.0,,,,,105
V2,4215339.9129,2348861.8858,,,0.0,-1.0,,,,,105
V3,4221980.7267,2521128.8395,,,0.0,-1.0,,,,,105
V0,-353415.6169,-2298983.0066,,,0.0,-1.0,,,,,106
V1,-369596.1567,-2472450.7651,,,0.0,-1.0,,,,,106
V2,-240855.3401,-2471774.5544,,,0.0,-1.0,,,,,106
V3,-212830.4996,-2298573.6414,,,0.0,-1.0,,,,,106
V0,5242149.2051,-2282981.3746,,,0.0,-1.0,,,,,107
V1,5225986.8593,-2456837.272,,,0.0,-1.0,,,,,107
V2,5355164.3321,-2456164.0936,,,0.0,-1.0,,,,,107
V3,5381272.7369,-2282565.9447,,,0.0,-1.0,,,,,107
V0,1559490.4921,-2265357.4434,,,0.0,-1.0,,,,,108
V1,1547315.6669,-2439816.7754,,,0.0,-1.0,,,,,108
V2,1665406.9228,-2437427.2954,,,0.0,-1.0,,,,,108
V3,1709384.8779,-2263841.2758,,,0.0,-1.0,,,,,108
V0,555772.4313,-2296526.8153,,,0.0,-1.0,,,,,109
V1,514438.6723,-2469667.0815,,,0.0,-1.0,,,,,109
V2,661582.7303,-2469955.1534,,,0.0,-1.0,,,,,109
