start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Mg/Si,Ca/Si,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20200112T204109,87.557,81.9594,81.9969,87.6831,127.918,121.82,133.921,134.16,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T204245,82.7024,77.034,77.0574,82.7438,130.605,129.118,134.205,134.264,1.6820064180199912,1.6820064180199912,0.0,0.0037480612697825284,0.004200130037344307,-1.0
20200112T204421,77.7808,72.1013,72.1184,77.8057,131.703,131.048,134.282,134.309,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T204557,72.8507,67.1671,67.1807,72.8685,132.297,131.932,134.32,134.336,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T204733,67.9193,62.2331,62.2445,67.9334,132.667,132.437,134.344,134.355,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T204909,62.9886,57.3003,57.3101,63.0004,132.918,132.761,134.361,134.371,1.0,1.116442078119958,0.0,0.011290639686418403,0.005167030479165563,-1.0
20200112T205045,58.0596,56.7043,56.7139,58.0697,132.952,132.986,134.376,134.373,1.7067280144458217,2.73167622895926,0.0,0.0075678702640441615,0.004278182831957351,-1.0
20200112T213329,-72.1558,-77.8997,-77.8684,-72.1344,133.713,133.657,136.899,137.593,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T213505,-76.989,-82.7334,-82.6814,-76.9597,133.665,133.529,138.133,139.666,2.30106589481627,2.30106589481627,0.0,0.0013648521418647,0.005608800821661372,-1.0
20200112T213641,-81.8215,-87.5661,-87.4154,-81.7752,133.558,132.881,141.098,146.944,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T213817,-86.6536,-89.6124,-89.955,-86.5423,176.987,-144.275,-112.264,156.024,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T213953,-82.716,-88.2771,-88.513,-82.7683,-53.0164,-76.5178,-45.7347,-45.2912,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T214129,-77.9041,-83.6206,-83.6803,-77.9356,-50.2869,-54.0011,-45.9152,-45.826,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T214305,-73.0797,-78.8126,-78.8466,-73.1023,-49.1162,-50.626,-45.9821,-45.9443,0.0,1.7282408779058396,0.0,-1.0,0.002930125572818587,-1.0
20200112T214441,-68.2499,-73.9877,-74.0116,-68.2676,-48.4679,-49.286,-46.0164,-45.995,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T214617,-63.4171,-69.1562,-69.1747,-63.4317,-48.0581,-48.5699,-46.0365,-46.0226,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T214753,-58.5815,-64.3208,-64.3359,-58.594,-47.7766,-48.126,-46.049,-46.0393,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T214929,-53.7433,-59.482,-59.4949,-53.7543,-47.5722,-47.8251,-46.057,-46.0498,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T215105,-48.9022,-54.6401,-54.6513,-48.9121,-47.4173,-47.6086,-46.0616,-46.0561,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T215241,-44.0582,-49.7948,-49.8048,-44.0671,-47.2966,-47.4457,-46.0639,-46.06,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T215417,-39.2109,-44.946,-44.9551,-39.2191,-47.2001,-47.3195,-46.0644,-46.0613,1.0,0.0,0.0,0.011902463640859604,-1.0,-1.0
20200112T215553,-34.3603,-40.0936,-40.102,-34.368,-47.1216,-47.219,-46.0642,-46.0594,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T215729,-29.5058,-35.2375,-35.2454,-29.5131,-47.0567,-47.1374,-46.0625,-46.0558,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T215905,-24.6476,-30.3773,-30.3847,-24.6545,-47.0022,-47.0701,-46.0593,-46.0506,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T220041,-19.7851,-25.513,-25.52,-19.7918,-46.956,-47.0138,-46.0544,-46.0436,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T220217,-14.9186,-20.6441,-20.6509,-14.9251,-46.9163,-46.9662,-46.0477,-46.0346,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T220353,-10.0478,-15.7711,-15.7776,-10.0541,-46.8822,-46.9253,-46.039,-46.0216,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T220529,-5.1727,-10.8935,-10.8998,-5.1789,-46.8521,-46.8903,-46.0285,-46.0102,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T220705,-0.2933,-6.0116,-6.0178,-0.2995,-46.8258,-46.8594,-46.0154,-45.9943,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T220841,4.5906,-1.1253,-1.1315,4.5845,-46.8023,-46.8325,-45.9999,-45.975,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T221017,9.479,3.7655,3.7594,9.4729,-46.7812,-46.8084,-45.9811,-45.9522,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T221153,14.3721,8.6608,8.6547,14.3658,-46.7621,-46.7869,-45.9588,-45.9249,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T221329,19.2694,13.5606,13.5544,19.2631,-46.7446,-46.7675,-45.9323,-45.8925,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T221505,24.1711,18.4646,18.4583,24.1646,-46.7283,-46.7497,-45.9008,-45.8537,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T221641,29.0771,23.3727,23.3662,29.0703,-46.7128,-46.7332,-45.863,-45.807,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T221817,33.987,28.2849,28.2782,33.9799,-46.6978,-46.7176,-45.8176,-45.7502,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T221953,38.9006,33.2008,33.1937,38.8931,-46.6828,-46.7026,-45.7625,-45.6804,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T222129,43.8179,38.12,38.1125,43.8098,-46.6677,-46.6876,-45.6949,-45.5938,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T222305,48.7385,43.0425,43.0345,48.7297,-46.6516,-46.6726,-45.6111,-45.4839,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T222441,53.6623,47.9679,47.9592,53.6526,-46.6338,-46.6566,-45.5051,-45.3415,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T222617,58.589,52.896,52.8864,58.5779,-46.6133,-46.6392,-45.3684,-45.1514,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T222753,63.5181,57.8265,57.8157,63.5053,-46.5879,-46.6193,-45.1869,-44.887,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T222929,68.4495,62.759,62.7464,68.4339,-46.5542,-46.595,-44.936,-44.4972,1.0,0.0,0.0,0.01583493398556896,-1.0,-1.0
20200112T223105,73.3826,67.6931,67.678,73.3627,-46.5036,-46.5631,-44.5701,-43.8703,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T223241,78.3175,72.6284,72.6094,78.2895,-46.4146,-46.5161,-43.9907,-42.707,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T223417,83.2534,77.5651,77.5387,83.2053,-46.2021,-46.4363,-42.9451,-39.8428,0.0,0.0,0.0,-1.0,-1.0,-1.0
